login,fast_trades_count,paired_orders_count
9286519,31,90
9762103,13,40
9762113,14,69
9826480,310,2001
11278370,36,0
11421210,65,29
12067608,0,359
12142323,6,0
12246132,0,26
13174526,28,165
13174584,28,164
13558609,3,726
14048482,5,8
14312646,82,34
14958660,114,21
15083738,0,0
15107092,10,93
15170834,1,37
15273193,3,0
15325961,4,0
15441406,20,23
15473639,13,0
15580519,8,63
15610658,0,217
15744537,4,0
15788793,11,9
15844810,0,4
15992521,16,79
16082189,1,11
16087160,18,152
16110743,4,0
16111015,4,0
16341886,32,317
16537509,6,290
16601014,4,0
16623406,4,0
16640848,23,139
16668054,6,212
18007988,9,14
18290998,0,1598
18666009,4,0
18672718,10,149
18673759,2,59505
19080569,5,160
19217238,39,11
19285368,4,0
19296714,12,153
19323257,34,0
19365158,0,12
19377815,12,6
19703319,0,0
19889892,4,0
20092136,15,442
20208440,12,0
20219786,10,684
20219982,10,747
20224906,27,44
20268693,0,0
20322511,5,5
20329952,15,0
20377733,4,0
20458869,119,55
20505973,4,0
20546812,20,0
20781124,280,735
20852969,11,25
20912929,6,76
20932428,4,0
20940019,0,135
20950164,2,85
20971742,25,4
20984105,0,34
21139617,4,98
21167604,1,16
21181475,96,857
21201186,3,57
21223673,22,2875
21420496,127,39
21483352,2,59
21719046,51,10
21753731,11,0
21753732,10,0
21753733,2,0
21892806,27,17
21929150,127,122
21983147,5,4
22057916,30,34
22074800,12,194
22074820,8,462
22075313,13,22
22077033,22,0
22080506,12,6
22086826,29,42
22101234,81,6
22126356,37,17
22197630,25,0
22198100,125,44
22221563,41,25
22230013,3,31
22230023,2,53
22242721,13,0
22244020,11,0
22245848,21,32
22246111,24,28
22246145,24,30
22246150,32,0
22246161,21,40
22260493,30,33
22289405,4,0
22326851,19,26
22333841,20,34
22339012,16,11
22343080,19,0
22348830,110,9
22352813,22,30
22354961,12,24
22375695,19,0
22389224,23,0
22414314,16,152
22414321,7,735
22418072,41,433
22460156,19,121
22464226,24,0
22465973,12,290
22473652,11,0
22476915,21,31
22505561,60,10
22518394,22,898
22528724,15,0
22529738,26,602
22530945,28,0
22541906,41,108
22545770,32,0
22546245,21,0
22549938,18,13
22554523,16,0
22561083,44,4
22571075,368,61366
22578903,34,822
22583119,19,112
22587650,29,922
22595940,123,183
22606029,1,77
22615503,19,22
22617710,17,0
22644113,107,18
22694788,223,0
22696546,19,125
22780279,38,128
22782820,6,0
22806670,16,0
22832788,67,125
22837778,437,0
22852526,13,219
22855768,4,15
22872638,18,0
22885041,20,0
22888209,21,463
22891700,6,3876
22894757,28,2
22894864,18,26
22894965,19,22
22895118,18,0
22895205,30,0
22900691,22,0
22900703,28,0
22900708,24,0
22911261,4,0
22935878,1,4
22938617,24,231
22959470,50,89
22973082,21,0
22977880,678,0
22993544,250,0
23023397,75,72
23052864,11,3114
23077164,14,50
23079840,14,21309
23085785,414,0
23109369,263,0
23121797,145,25
23125487,7,10
23129051,13,0
23146061,3,0
23154646,638,0
23167655,5,126
23209629,147,7
23216358,11,58
23219837,467,0
23229223,0,999
23241237,0,1471
23248286,16,0
23270801,3,0
23281191,22,0
23283270,1,0
23293744,3,0
23300812,74,0
23301612,99,20
23303573,13,0
23307997,19,0
23315319,25,0
23317398,7,0
23336487,1,1097
23342763,31,1835
290140265,4,5
290179144,0,0
290191028,14,0
290389398,0,0
290415539,145,28
290420240,21,38
290420701,35,132
290455359,11,540
290464558,55,296
290465121,156,702
290469515,23,18
290474245,15,20
290474872,0,0
290475209,17,14
290491889,53,152
290498319,0,0
290499628,32,25
290500391,1,66
290502424,15,40
290504944,38,38
290504959,48,113
290507690,13,35
290508534,32,22
290516593,10,68
290519114,9,174
290521028,44,58
290527154,13,92
290532316,6,31
290532533,2,19
290533431,25,147
290538762,0,11
290541589,135,382
290545713,0,0
290548701,0,145
290550104,6,19
290554265,3,39
290560636,14,76
290561589,18,183
290563180,17,41
290566170,16,29
290566631,14,87
290568509,11,53
290569408,12,90
290573229,12,40
290578703,11,32
290580372,12,85
290581909,2,83
290582110,13,202
290584505,377,1087
290585409,3,427
290585680,5,30
290586134,96,244
290586217,14,51
290588648,11,119
290590761,20,201
290591234,13,89
290591284,6,59
290592531,29,312
290592554,12,41
290592577,13,9
290592956,6,59
290594716,14,28
290597067,3,469
290603503,115,536
290608714,14,173
290609954,14,55
290610139,16,278
290610307,12,25
290611515,6,25
290612465,13,85
290612577,28,470
290613663,12,54
290613940,9,169
290613949,41,88
290615213,14,178
290615316,29,40
290616000,18,34
290616877,15,27
290618615,32,14
290619041,14,58
290620487,3,75
290622568,24,206
290622638,16,101
290624581,51,120
290625060,6,56
290625652,20,25
290626319,18,285
290626339,8,321
290626748,0,249
290627505,173,3933
290629599,19,388
290630630,6,6
290630667,14,17
290630693,9,6
290630765,53,1948
290632223,24,434
290633898,17,30
290635108,24,65
290635946,22,2
290636119,2,112
290636161,13,51
290636581,12,85
290639156,43,76
290639159,39,75
290639967,12,16
290642693,12,89
290644260,7,310
290645040,8,21
290645168,4,230
290645511,45,92
290646066,24,74
290646221,11,50
290649590,51,100
290649618,14,37
290649858,14,31
290650470,34,502
290650627,13,43
290650720,14,139
290651015,12,28
290651021,11,40
290651038,12,42
290651159,40,43
290651161,36,47
290652015,43,130
290652343,18,200
290652631,34,84
290652639,34,57
290652641,23,66
290652643,40,76
290652644,24,73
290652685,25,83
290652722,16,36
290652823,11,38
290652977,8,64
290654388,13,61
290654447,13,61
290654652,0,306
290654672,0,60
290655628,13,43
290656290,9,32
290656387,17,207
290657237,57,211
290658490,17,30
290659634,8,21
290659921,14,52
290659939,15,30
290660103,11,67
290661652,68,214
290661696,14,26
290661837,2,17
290662055,18,301
290662884,3,867
290663157,21,421
290663259,12,45
290663972,13,35
290664562,254,2225
290664779,14,52
290665369,15,31
290665483,14,75
290665849,36,8
290665873,21,0
290665971,30,57
290666246,12,78
290666401,13,53
290668534,20,54
290668568,13,83
290669406,15,96
290669611,42,125
290669663,14,29
290670256,29,478
290670588,15,253
290672646,16,60
290672747,23,69
290672792,21,47
290673688,43,46
290673833,15,40
290674375,16,0
290674617,16,75
290675276,72,866
290675300,6,164
290675616,21,30
290675685,15,30
290676702,17,37
290676980,85,10
290677014,2,1
290677182,10,50
290677287,4,9
290677384,15,58
290677409,1,63
290677455,14,48
290677497,10,89
290677507,10,855
290678155,90,51
290678161,95,46
290678164,122,34
